names,scores,method,logfoldchanges,pvals,pvals_adj
apoc1.like.L,0.29016843,logreg_bal,,,
fn1.S,0.21394578,logreg_bal,,,
frem2.1.L,0.18470234,logreg_bal,,,
pltp.S,0.16392566,logreg_bal,,,
krt16.S,0.14841366,logreg_bal,,,
lpar3.L,0.14127705,logreg_bal,,,
krt8.L,0.1397885,logreg_bal,,,
fgf9.L,0.13075352,logreg_bal,,,
fras1.L,0.12927099,logreg_bal,,,
fstl1.L,0.12716638,logreg_bal,,,
Xetrov90029035m.L,0.12597509,logreg_bal,,,
loc100486548.L,0.11577406,logreg_bal,,,
mdk.L,0.11322094,logreg_bal,,,
nid2.L,0.11199468,logreg_bal,,,
lama5.L,0.11174792,logreg_bal,,,
lamc1.S,0.10714983,logreg_bal,,,
fabp3.S,0.10411094,logreg_bal,,,
bmp4.S,0.10060742,logreg_bal,,,
plk2.S,0.09963627,logreg_bal,,,
lama1.L,0.099346876,logreg_bal,,,
krt5.7.S,0.09751426,logreg_bal,,,
tmsb4x.L,0.095054716,logreg_bal,,,
col14a1.S,0.09474399,logreg_bal,,,
tmem263.L,0.09464492,logreg_bal,,,
adamts1.S,0.094522364,logreg_bal,,,
id3.S,0.09220512,logreg_bal,,,
cldn6.1.S,0.091879115,logreg_bal,,,
id3.L,0.08991499,logreg_bal,,,
krt16.L,0.089524895,logreg_bal,,,
bambi.L,0.08742216,logreg_bal,,,
optc.S,0.086079404,logreg_bal,,,
loc100490088.S,0.08520437,logreg_bal,,,
rhou.S,0.08491248,logreg_bal,,,
vcan.L,0.08460857,logreg_bal,,,
cpa6.L,0.08458247,logreg_bal,,,
tinagl1.S,0.084396906,logreg_bal,,,
sp9.L,0.08420602,logreg_bal,,,
lef1.S,0.08368346,logreg_bal,,,
Xelaev18026267m.g,0.08324187,logreg_bal,,,
hsp90b1.L,0.08154834,logreg_bal,,,
sox11.L,0.08090754,logreg_bal,,,
col14a1.L,0.079854324,logreg_bal,,,
uqcrh.L,0.078516476,logreg_bal,,,
zfp36l1.S,0.07762638,logreg_bal,,,
fgf7.L,0.077427745,logreg_bal,,,
loc100127750.S,0.07720518,logreg_bal,,,
bhlha9.S,0.0766866,logreg_bal,,,
Xelaev18045084m.g,0.07606319,logreg_bal,,,
azin2.S,0.072452925,logreg_bal,,,
msx2.L,0.07201917,logreg_bal,,,
efemp2.L,0.072006516,logreg_bal,,,
nid2.S,0.071845844,logreg_bal,,,
fam83b.S,0.071191,logreg_bal,,,
krt12.L,0.07096876,logreg_bal,,,
fgf7.S,0.07086186,logreg_bal,,,
prdm1.S,0.07076746,logreg_bal,,,
lamc1.L,0.07032354,logreg_bal,,,
