names,scores,method,logfoldchanges,pvals,pvals_adj
apoc1.like.L,0.31122315,logreg,,,
fn1.S,0.21804324,logreg,,,
frem2.1.L,0.17622408,logreg,,,
pltp.S,0.17434007,logreg,,,
krt16.S,0.14933845,logreg,,,
krt8.L,0.1352057,logreg,,,
Xetrov90029035m.L,0.1336859,logreg,,,
nid2.L,0.13145174,logreg,,,
lpar3.L,0.13138059,logreg,,,
fras1.L,0.1285252,logreg,,,
fgf9.L,0.118719384,logreg,,,
lama5.L,0.116513684,logreg,,,
fstl1.L,0.1163563,logreg,,,
krt5.7.S,0.110620245,logreg,,,
loc100486548.L,0.10994985,logreg,,,
fabp3.S,0.10890097,logreg,,,
plk2.S,0.108452804,logreg,,,
mdk.L,0.10730502,logreg,,,
lamc1.S,0.104856774,logreg,,,
bambi.L,0.10181634,logreg,,,
lama1.L,0.1016912,logreg,,,
col14a1.S,0.10018272,logreg,,,
id3.L,0.094755284,logreg,,,
id3.S,0.09461845,logreg,,,
sp9.L,0.093722045,logreg,,,
tmsb4x.L,0.093478575,logreg,,,
tmem263.L,0.09229893,logreg,,,
bmp4.S,0.09153071,logreg,,,
fgf7.L,0.08660342,logreg,,,
sox11.L,0.086570196,logreg,,,
cldn6.1.S,0.08586417,logreg,,,
adamts1.S,0.08523327,logreg,,,
lef1.S,0.083132386,logreg,,,
tinagl1.S,0.08152325,logreg,,,
hsp90b1.L,0.081361786,logreg,,,
cpa6.L,0.08079345,logreg,,,
optc.S,0.08071457,logreg,,,
loc100127750.S,0.079892926,logreg,,,
zfp36l1.S,0.07904228,logreg,,,
bhlha9.S,0.077682,logreg,,,
rhou.S,0.07709303,logreg,,,
nid2.S,0.077030964,logreg,,,
prdm1.S,0.07601232,logreg,,,
col14a1.L,0.07572101,logreg,,,
msx2.L,0.07540958,logreg,,,
azin2.S,0.075355954,logreg,,,
krt16.L,0.07503919,logreg,,,
fgf7.S,0.074096724,logreg,,,
Xelaev18026267m.g,0.0739685,logreg,,,
krt12.L,0.07381766,logreg,,,
mmp19.like.2.L,0.07320341,logreg,,,
egfl6.L,0.07224999,logreg,,,
ctnnb1.S,0.071790166,logreg,,,
krt.L,0.070855565,logreg,,,
efemp2.L,0.07040324,logreg,,,
rspo2.L,0.06994721,logreg,,,
