gene_display,gene_canon,rank_logreg,rank_wilcoxon,pct>0_ROC,pct>0_other,mean_ROC,mean_other,log2FC(ROC-other)
pltp.L,pltp,4,28,0.19158878504672897,0.0034655371582595304,0.28505057096481323,0.0032646022737026215,0.2817859649658203
lpar3.L,lpar3,6,60,0.7009345794392523,0.024797843665768194,1.5336979627609253,0.031144529581069946,1.5025534629821777
fgf9.L,fgf9,8,91,0.6401869158878505,0.016249518675394686,1.2151070833206177,0.020721303299069405,1.1943857669830322
nid2.L,nid2,14,14,0.8504672897196262,0.08656141701963804,3.057338237762451,0.1367006003856659,2.920637607574463
cpa6.L,cpa6,35,103,0.602803738317757,0.012244897959183673,1.1769951581954956,0.012590616941452026,1.1644045114517212
tinagl1.S,tinagl1,36,100,0.6308411214953271,0.0294185598767809,1.1429154872894287,0.040262751281261444,1.1026527881622314
sp9.L,sp9,37,113,0.5934579439252337,0.010088563727377743,1.6739428043365479,0.013803302310407162,1.660139560699463
lef1.L,lef1,38,137,0.5607476635514018,0.08971890643049672,0.9638523459434509,0.11398646235466003,0.8498659133911133
fgf7.L,fgf7,45,136,0.5700934579439252,0.012552945706584521,1.2502601146697998,0.017238596454262733,1.2330214977264404
egfl6.L,egfl6,65,15,0.6962616822429907,0.03711975356180208,1.5610947608947754,0.048193562775850296,1.5129011869430542
krt.L,krt,68,116,0.4158878504672897,0.007085098190219484,1.023840069770813,0.009723572991788387,1.0141165256500244
rspo2.L,rspo2,72,177,0.5186915887850467,0.01555641124374278,1.0494322776794434,0.02054411917924881,1.0288881063461304
sema3f.L,sema3f,81,323,0.4205607476635514,0.03581055063534848,0.6889739036560059,0.04539473354816437,0.6435791850090027
lamb1.L,lamb1,84,295,0.43457943925233644,0.06083943011166731,0.80777508020401,0.0718851312994957,0.7358899712562561
fbn2.L,fbn2,88,262,0.2897196261682243,0.06846361185983828,0.5042267441749573,0.08846381306648254,0.41576293110847473
igfbp2.L,igfbp2,96,42,0.40186915887850466,0.01732768579129765,0.6839874982833862,0.02125200815498829,0.6627354621887207
bmp5.L,bmp5,97,450,0.32242990654205606,0.013708124759337697,0.6770786046981812,0.019607653841376305,0.6574709415435791
jag1.L,jag1,99,159,0.5607476635514018,0.048209472468232574,1.0732561349868774,0.05972477048635483,1.0135313272476196
vwde.L,vwde,110,74,0.677570093457944,0.03473238351944551,1.4863877296447754,0.04433159530162811,1.4420561790466309
pzp.L,pzp,146,424,0.3411214953271028,0.02325760492876396,0.594256579875946,0.02950587123632431,0.5647507309913635
tp73.L,tp73,147,158,0.5654205607476636,0.04435887562572199,1.0388950109481812,0.06215217337012291,0.9767428636550903
frem2.L,frem2,153,26,0.8785046728971962,0.14462841740469773,2.369487762451172,0.2978929579257965,2.071594715118408
unc5b.L,unc5b,222,99,0.6588785046728972,0.0778590681555641,1.3319023847579956,0.09637156128883362,1.2355308532714844
