cluster,n_cells,e_internal,a_strength,Q_contrib,count,mean,median,min,max
4,2536,13923.483910903946,30519.049379602482,0.13316657167271773,2536,-0.014515679,-0.011876991,-0.15862013,0.029001515
5,1861,11941.90315259993,24292.461512103677,0.12167112955079727,1861,0.008808781,0.013022076,-0.1421079,0.048601322
10,1172,6696.460957236122,15439.507007524488,0.0715332320842803,1172,0.030563608,0.026167538,-0.095703796,0.13800392
3,1011,6022.209185498301,13319.484111963771,0.0656513589636164,1011,0.023563001,0.024369184,-0.053900007,0.07082738
0,910,5341.825037272065,12019.017599736108,0.05869526514656223,910,0.061181597,0.057513107,-0.042703155,0.190477
7,700,4290.003965155178,8962.889468094247,0.04841261311637631,700,0.07369047,0.07348616,-0.06627134,0.15454017
6,744,4104.637103169924,9499.69859295478,0.04584269016646193,744,0.020922104,0.021181542,-0.14426015,0.07053215
9,505,3207.7639909966383,6538.321072213817,0.036818227997821515,505,0.041503582,0.041624296,-0.112783186,0.108313315
1,489,3055.0585302044638,6213.750701425597,0.035140656219700105,489,0.089431524,0.10274722,-0.16977862,0.20033257
8,351,1860.1148656858131,4255.208790851757,0.021588854123989507,351,0.021470321,0.023070136,-0.078183495,0.081367984
17,293,1814.7863714002342,3773.114719107056,0.021185267068914253,293,0.04329827,0.050940037,-0.12131031,0.108801134
11,246,1581.9186166971922,3248.3791476981714,0.018533202647257375,246,0.19101056,0.19312936,0.032989565,0.29569587
2,206,1329.55020616818,2678.021810125276,0.01563715903475788,206,0.09627243,0.099120766,0.02168368,0.14933614
12,219,1300.3712417986244,2742.096882795915,0.015275948582240014,219,0.12266921,0.13358791,-0.021107119,0.21030305
23,196,1121.0570971090347,2556.665667887777,0.013167538745609091,196,0.10668008,0.104739025,0.015062263,0.21611658
34,116,717.1003077700734,1442.5379505455494,0.008497836311959302,116,0.46769196,0.4880243,-0.0057441085,0.60442096
21,129,692.3395430669188,1632.32912170887,0.008180999561292845,129,0.063308395,0.061563212,-0.043175828,0.17416921
26,110,666.4580463767052,1378.2782168909907,0.007898937208091381,110,0.11667423,0.12116836,0.026231406,0.19929549
22,111,640.1149265524,1355.930673006922,0.007586215937053284,111,0.07899693,0.08022268,-0.011544739,0.15049914
14,104,504.8933365368175,1197.826357537745,0.005984208919513719,104,-0.022952758,-0.018420612,-0.13208656,0.071872704
32,78,482.95983485272154,972.6681013209745,0.005739475694403953,78,0.14727636,0.15021457,0.01582971,0.21333313
24,77,468.62507962901145,950.1900606695563,0.0055696629387195625,77,0.19819188,0.20366418,0.01987843,0.30816078
36,76,462.6692490465939,943.9003302101046,0.005498892880273955,76,0.076551,0.07670805,-0.006655924,0.13242172
27,92,462.00608205236495,1048.589862640947,0.005483513611325396,92,0.0033271618,0.006398283,-0.1282015,0.10575269
16,74,459.64658648427576,923.9170845951885,0.00546409355500278,74,0.19271718,0.19190961,0.08206357,0.27580988
28,70,414.2021632997894,896.1749088408787,0.004922657398695679,70,0.07712105,0.076181255,0.027741104,0.14172043
20,65,375.30108677595854,790.6476553920656,0.004463995304842926,65,0.11467212,0.12832381,-0.0070607737,0.2140921
35,69,375.02241146564484,827.0709769260138,0.004458559071717043,69,0.16402528,0.16730006,0.07399746,0.27423298
38,73,360.9118426933419,859.1051552114077,0.004287952503103398,73,0.054563254,0.07049963,-0.15234803,0.14881971
18,56,337.77585338335484,684.996639911551,0.004020990368314709,56,0.092041746,0.09742467,0.01591145,0.1571492
19,56,319.96052004396915,653.824002277106,0.0038095178443188094,56,0.15731002,0.17334151,-0.03522763,0.23297963
39,53,315.90291429613717,648.1830825419165,0.003761275838354184,53,0.2402746,0.26340243,0.014299719,0.34653765
15,41,229.82323110476136,503.8763821274042,0.002738223459412654,41,0.09791812,0.09589939,0.022999596,0.170465
25,36,222.05558459460735,444.72347220778465,0.0026473740363624886,36,0.122313805,0.11816831,0.052123755,0.20411272
31,36,202.74364346265793,420.49365416914225,0.002417269140246556,36,0.10242098,0.10760329,0.012644354,0.1565613
41,29,153.02133809775114,329.1905484125018,0.0018253368637001304,29,0.20017518,0.19899794,0.06344454,0.31053454
37,30,146.78415673132986,339.32752172648907,0.0017505358669991388,30,0.09434307,0.09878506,0.004313234,0.17384194
13,23,132.48483994603157,279.7871169145219,0.0015809195435654455,23,0.2875051,0.30095336,0.10011272,0.41051745
42,24,130.67988126259297,269.32131137658143,0.0015595484745053645,24,0.11098683,0.110409275,0.04232599,0.17352289
40,21,115.18990762531757,240.89858853816986,0.0013749002979392539,21,0.2057265,0.22297104,-0.081335746,0.33058652
33,19,96.23009153828025,222.23365107364953,0.001148564572226257,19,0.104464374,0.10132106,0.05026645,0.17709236
47,17,90.1990981400013,202.904001718387,0.0010767640011356918,17,0.12089473,0.11967787,0.082752265,0.15902863
30,14,74.84521187096834,151.93080828338861,0.0008938706842577925,14,0.23023413,0.23919478,0.12689565,0.30673233
44,16,69.99251206219196,163.68544967472553,0.0008357292581791224,16,0.13053393,0.11855145,0.09174606,0.19053009
45,13,66.70170152187347,139.64724385738373,0.0007966515861028583,13,0.22824878,0.23394337,0.0911789,0.29418883
29,12,64.59279987215996,129.63196650892496,0.0007715382433405225,12,0.2546147,0.25976223,0.179468,0.34483603
43,12,63.67428769171238,129.63977909088135,0.0007605583298581134,12,0.36063597,0.38665366,0.062163826,0.43809032
46,8,37.31248032534495,77.70090328482911,0.00044581553485050456,8,0.36868632,0.43515396,0.06173983,0.49866816
