names,scores,method,logfoldchanges,pvals,pvals_adj
apoc1.like.L,0.27116853,logreg_bal,,,
fn1.S,0.25002205,logreg_bal,,,
pltp.S,0.18335737,logreg_bal,,,
nid2.L,0.15553471,logreg_bal,,,
Xetrov90029035m.L,0.15293083,logreg_bal,,,
frem2.1.L,0.14124544,logreg_bal,,,
krt16.S,0.14056973,logreg_bal,,,
krt8.L,0.1264549,logreg_bal,,,
lpar3.L,0.12381129,logreg_bal,,,
sp9.L,0.117889576,logreg_bal,,,
mmp3.L,0.11493953,logreg_bal,,,
fstl1.L,0.11042386,logreg_bal,,,
sox11.L,0.10812145,logreg_bal,,,
fgf7.L,0.10707157,logreg_bal,,,
fras1.L,0.10482476,logreg_bal,,,
bambi.L,0.10388565,logreg_bal,,,
zfp36l1.S,0.100625284,logreg_bal,,,
lama1.L,0.09673057,logreg_bal,,,
adamts1.S,0.09478701,logreg_bal,,,
id3.S,0.09369899,logreg_bal,,,
sparc.S,0.09349548,logreg_bal,,,
loc100127750.S,0.0933983,logreg_bal,,,
hexim1.L,0.092353255,logreg_bal,,,
cpamd8.L,0.09234245,logreg_bal,,,
fabp3.S,0.09058365,logreg_bal,,,
col14a1.S,0.090142,logreg_bal,,,
loc100490088.S,0.08931782,logreg_bal,,,
bmp4.S,0.08830526,logreg_bal,,,
plk2.S,0.08647778,logreg_bal,,,
krt.L,0.085274346,logreg_bal,,,
loc100486548.L,0.08500538,logreg_bal,,,
krt5.7.S,0.08482798,logreg_bal,,,
optc.S,0.082141936,logreg_bal,,,
lamc1.S,0.08194201,logreg_bal,,,
id3.L,0.08146388,logreg_bal,,,
Xelaev18045649m.g,0.08092203,logreg_bal,,,
tmsb4x.L,0.0796632,logreg_bal,,,
copa.L,0.078139246,logreg_bal,,,
nid2.S,0.07669362,logreg_bal,,,
fgf7.S,0.07632141,logreg_bal,,,
col14a1.L,0.075826146,logreg_bal,,,
tmem263.L,0.07556917,logreg_bal,,,
krt12.L,0.07484336,logreg_bal,,,
ccdc3.L,0.07439905,logreg_bal,,,
ptgs1.S,0.074393824,logreg_bal,,,
lama5.L,0.0731859,logreg_bal,,,
gpx3.L,0.07305875,logreg_bal,,,
bhlha9.S,0.06893526,logreg_bal,,,
mdk.L,0.06792837,logreg_bal,,,
lmo7.L,0.06784491,logreg_bal,,,
